,County,Area,Tract,GEOID,day,night,DevelopedArea,Pop,State,Black,Asian,White,Hispanic,nonUS,Edu,SP,Age,Income,Housing
56132,Philadelphia County Pennsylvania,20714637.7020156,Census Tract 9809,42101980900,9.34510220401252,3.84623471883958,13977506.6186753,5,PA,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,,
56133,Philadelphia County Pennsylvania,4294993.05219722,Census Tract 9891,42101989100,8.06623381404241,2.52652093497023,2797072.31348614,3744,PA,0.722222222222222,0.0074786324786324,0.146100427350427,0.165865384615385,0.016292735042735,0.817724458204334,,0.000267094017094,8256.0,
56627,Providence County Rhode Island,4007711.36219911,Census Tract 1.01,44007000101,9.53849903518792,2.32287484156621,1713411.59948108,4706,RI,0.21334466638334,0.0473863153421164,0.393965150871228,0.387802804929877,0.128771780705482,0.589580686149936,0.438657407407407,0.0242243943901402,11433.0,1136.0
56628,Providence County Rhode Island,2884997.42108669,Census Tract 1.02,44007000102,9.19739076709863,3.09666536844271,2888420.55858992,4926,RI,0.209703613479497,0.119975639464068,0.131952902963865,0.575111652456354,0.217214778725132,0.601912928759894,0.6,0.0387738530247665,17865.0,1035.0
56629,Providence County Rhode Island,1105293.21975681,Census Tract 2,44007000200,11.4328925968951,3.64168519203012,1106533.21406442,6338,RI,0.194540864626065,0.0762070053644683,0.115178289681287,0.62622278321237,0.273745661091827,0.601052048726467,0.668174962292609,0.0457557589144841,14646.0,987.0
56630,Providence County Rhode Island,1114413.18940087,Census Tract 3,44007000300,12.6050156475055,3.63563545894985,1115403.79948108,6409,RI,0.204712123576221,0.0156030581994071,0.193321891090654,0.631143704166017,0.274301763145577,0.630216833760783,0.578996282527881,0.0505539085660789,15924.0,924.0
56631,Providence County Rhode Island,640604.186802985,Census Tract 4,44007000400,12.1408683084486,2.78261858157318,641674.599785539,3874,RI,0.3902942694889,0.0141972121837894,0.0743417656169334,0.630872483221476,0.251677852348993,0.59290780141844,0.77028258887876,0.0162622612287042,15156.0,957.0
56632,Providence County Rhode Island,582268.667225767,Census Tract 5,44007000500,12.096264160401,3.04869674185465,582792.903479243,2875,RI,0.410086956521739,0.102608695652174,0.0782608695652174,0.60695652173913,0.198608695652174,0.623505976095618,0.762183235867446,0.056695652173913,15533.0,896.0
56633,Providence County Rhode Island,2761895.84582336,Census Tract 6,44007000600,11.6461397707231,2.70694159899101,1898990.03417011,2063,RI,0.362578768783325,0.0770722249151721,0.176926805622879,0.487154629180805,0.12409112942317,0.619525547445255,0.818330605564648,0.0649539505574406,12722.0,1079.0
56634,Providence County Rhode Island,605134.275826194,Census Tract 7,44007000700,12.9442750965251,2.98244473938223,605147.583743106,2554,RI,0.43461237274863,0.0054815974941268,0.130383711824589,0.438919342208301,0.168363351605325,0.606612685560054,0.738896366083445,0.0602975724353955,11975.0,543.0
